task,caseid,user,Activity_1,Resource_1,creator,variant,variant_index,end_timestamp,start_timestamp
Homologacion por grupo de cursos,111202,22404,Homologacion por grupo de cursos,22404,Fluxicon Disco,Variant 4,4,2016-04-19T19:53:33.000,2016-04-19T15:50:25.000
Revisar curso,111202,22404,Revisar curso,22404,Fluxicon Disco,Variant 4,4,2016-04-19T15:50:26.000,2016-04-19T15:50:25.000
Evaluacion curso,111202,22404,Evaluacion curso,22404,Fluxicon Disco,Variant 4,4,2016-04-19T19:54:48.000,2016-04-19T15:51:42.000
Validar solicitud / pre-homologacion,111202,22404,Validar solicitud / pre-homologacion,22404,Fluxicon Disco,Variant 4,4,2016-06-02T18:58:31.000,2016-06-02T18:58:31.000
End,111202,End,End,End,Fluxicon Disco,Variant 4,4,2016-06-02T18:58:31.000,2016-06-02T18:58:31.000
Start,111205,Start,Start,Start,Fluxicon Disco,Variant 20,20,2016-04-18T15:52:24.000,2016-04-18T15:52:24.000
Traer informacion estudiante - banner,111205,8139,Traer informacion estudiante - banner,8139,Fluxicon Disco,Variant 20,20,2016-04-18T15:52:24.000,2016-04-18T15:52:24.000
Radicar Solicitud Homologacion,111205,8139,Radicar Solicitud Homologacion,8139,Fluxicon Disco,Variant 20,20,2016-04-18T15:59:33.000,2016-04-18T15:52:26.000
Validar solicitud,111205,1707,Validar solicitud,1707,Fluxicon Disco,Variant 20,20,2016-04-19T14:02:53.000,2016-04-19T13:19:18.000
Homologacion por grupo de cursos,111205,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 20,20,2016-04-27T00:02:33.000,2016-04-26T18:35:21.000
Revisar curso,111205,1707,Revisar curso,1707,Fluxicon Disco,Variant 20,20,2016-04-26T19:04:44.000,2016-04-26T18:35:21.000
Evaluacion curso,111205,7763,Evaluacion curso,7763,Fluxicon Disco,Variant 20,20,2016-05-02T20:45:34.000,2016-05-02T15:58:33.000
Validacion final,111205,1707,Validacion final,1707,Fluxicon Disco,Variant 20,20,2016-06-24T04:28:18.000,2016-06-24T04:28:18.000
Visto Bueno Cierre Proceso,111205,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 20,20,2016-06-24T14:03:54.000,2016-06-24T13:53:07.000
Transferir Creditos,111205,15930,Transferir Creditos,15930,Fluxicon Disco,Variant 20,20,2016-06-27T17:47:59.000,2016-06-27T17:47:59.000
Transferir creditos homologables,111205,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 20,20,2016-06-27T17:47:59.000,2016-06-27T17:47:59.000
Transferir creditos homologables,111205,15930,Transferir creditos homologables,15930,Fluxicon Disco,Variant 20,20,2016-06-27T17:48:00.000,2016-06-27T17:48:00.000
End,111205,End,End,End,Fluxicon Disco,Variant 20,20,2016-06-27T17:48:00.000,2016-06-27T17:48:00.000
Start,111209,Start,Start,Start,Fluxicon Disco,Variant 21,21,2016-04-18T17:01:52.000,2016-04-18T17:01:52.000
Traer informacion estudiante - banner,111209,5221,Traer informacion estudiante - banner,5221,Fluxicon Disco,Variant 21,21,2016-04-18T17:01:52.000,2016-04-18T17:01:52.000
Radicar Solicitud Homologacion,111209,5221,Radicar Solicitud Homologacion,5221,Fluxicon Disco,Variant 21,21,2016-04-18T17:02:00.000,2016-04-18T17:01:55.000
Validar solicitud,111209,22475,Validar solicitud,22475,Fluxicon Disco,Variant 21,21,2016-04-18T17:08:06.000,2016-04-18T17:07:17.000
Homologacion por grupo de cursos,111209,1343,Homologacion por grupo de cursos,1343,Fluxicon Disco,Variant 21,21,2016-04-18T21:00:33.000,2016-04-18T17:56:19.000
Validacion final,111209,22475,Validacion final,22475,Fluxicon Disco,Variant 21,21,2016-04-18T17:56:19.000,2016-04-18T17:56:19.000
Visto Bueno Cierre Proceso,111209,1343,Visto Bueno Cierre Proceso,1343,Fluxicon Disco,Variant 21,21,2016-04-18T21:00:43.000,2016-04-18T17:56:29.000
End,111209,End,End,End,Fluxicon Disco,Variant 21,21,2016-04-18T21:00:43.000,2016-04-18T21:00:43.000
Start,111256,Start,Start,Start,Fluxicon Disco,Variant 10,10,2016-04-18T20:11:53.000,2016-04-18T20:11:53.000
Notificacion estudiante cancelacion soli,111256,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 10,10,2016-04-18T20:11:53.000,2016-04-18T20:11:53.000
Traer informacion estudiante - banner,111256,9404,Traer informacion estudiante - banner,9404,Fluxicon Disco,Variant 10,10,2016-04-18T21:56:16.000,2016-04-18T21:56:16.000
Radicar Solicitud Homologacion,111256,9404,Radicar Solicitud Homologacion,9404,Fluxicon Disco,Variant 10,10,2016-04-18T21:56:21.000,2016-04-18T21:56:18.000
Cancelar Solicitud,111256,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 10,10,2016-04-18T21:59:28.000,2016-04-18T21:59:28.000
End,111256,End,End,End,Fluxicon Disco,Variant 10,10,2016-04-18T21:59:28.000,2016-04-18T21:59:28.000
Start,111264,Start,Start,Start,Fluxicon Disco,Variant 28,28,2016-04-19T00:24:53.000,2016-04-19T00:24:53.000
Traer informacion estudiante - banner,111264,3747,Traer informacion estudiante - banner,3747,Fluxicon Disco,Variant 28,28,2016-04-19T00:24:53.000,2016-04-19T00:24:53.000
Radicar Solicitud Homologacion,111264,3747,Radicar Solicitud Homologacion,3747,Fluxicon Disco,Variant 28,28,2016-04-19T00:25:02.000,2016-04-19T00:24:54.000
Validar solicitud,111264,677,Validar solicitud,677,Fluxicon Disco,Variant 28,28,2016-04-19T01:17:35.000,2016-04-19T00:33:41.000
Homologacion por grupo de cursos,111264,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 28,28,2016-04-26T20:28:09.000,2016-04-26T18:28:29.000
Revisar curso,111264,677,Revisar curso,677,Fluxicon Disco,Variant 28,28,2016-04-26T18:28:29.000,2016-04-26T18:28:29.000
Evaluacion curso,111264,677,Evaluacion curso,677,Fluxicon Disco,Variant 28,28,2016-04-26T20:20:35.000,2016-04-26T18:29:27.000
Validacion final,111264,677,Validacion final,677,Fluxicon Disco,Variant 28,28,2016-05-17T17:37:28.000,2016-05-17T17:37:28.000
Visto Bueno Cierre Proceso,111264,3445,Visto Bueno Cierre Proceso,3445,Fluxicon Disco,Variant 28,28,2016-05-17T17:46:54.000,2016-05-17T17:38:24.000
Transferir Creditos,111264,3445,Transferir Creditos,3445,Fluxicon Disco,Variant 28,28,2016-05-18T18:09:06.000,2016-05-18T18:09:06.000
Transferir creditos homologables,111264,3445,Transferir creditos homologables,3445,Fluxicon Disco,Variant 28,28,2016-05-18T18:09:07.000,2016-05-18T18:09:07.000
Transferir creditos homologables,111264,3445,Transferir creditos homologables,3445,Fluxicon Disco,Variant 28,28,2016-05-18T18:09:07.000,2016-05-18T18:09:07.000
Transferir creditos homologables,111264,3445,Transferir creditos homologables,3445,Fluxicon Disco,Variant 28,28,2016-05-18T18:09:07.000,2016-05-18T18:09:07.000
End,111264,End,End,End,Fluxicon Disco,Variant 28,28,2016-05-18T18:09:07.000,2016-05-18T18:09:07.000
Start,111314,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-04-18T22:18:27.000,2016-04-18T22:18:27.000
Traer informacion estudiante - banner,111314,7144,Traer informacion estudiante - banner,7144,Fluxicon Disco,Variant 1,1,2016-04-18T22:18:27.000,2016-04-18T22:18:27.000
Radicar Solicitud Homologacion,111314,7144,Radicar Solicitud Homologacion,7144,Fluxicon Disco,Variant 1,1,2016-04-18T22:18:36.000,2016-04-18T22:18:31.000
Cancelar Solicitud,111314,19019,Cancelar Solicitud,19019,Fluxicon Disco,Variant 1,1,2016-04-18T22:30:21.000,2016-04-18T22:23:45.000
Notificacion estudiante cancelacion soli,111314,19019,Notificacion estudiante cancelacion soli,19019,Fluxicon Disco,Variant 1,1,2016-04-19T20:31:30.000,2016-04-19T20:31:30.000
End,111314,End,End,End,Fluxicon Disco,Variant 1,1,2016-04-19T20:31:30.000,2016-04-19T20:31:30.000
Start,111351,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-04-18T23:40:11.000,2016-04-18T23:40:11.000
Traer informacion estudiante - banner,111351,8532,Traer informacion estudiante - banner,8532,Fluxicon Disco,Variant 3,3,2016-04-18T23:40:11.000,2016-04-18T23:40:11.000
Radicar Solicitud Homologacion,111351,8532,Radicar Solicitud Homologacion,8532,Fluxicon Disco,Variant 3,3,2016-04-18T23:57:36.000,2016-04-18T23:40:17.000
Validar solicitud,111351,1707,Validar solicitud,1707,Fluxicon Disco,Variant 3,3,2016-04-21T14:53:15.000,2016-04-21T14:25:38.000
Homologacion por grupo de cursos,111351,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 3,3,2016-04-26T22:26:06.000,2016-04-26T18:37:44.000
Revisar curso,111351,1707,Revisar curso,1707,Fluxicon Disco,Variant 3,3,2016-04-26T19:07:05.000,2016-04-26T18:37:44.000
Evaluacion curso,111351,1707,Evaluacion curso,1707,Fluxicon Disco,Variant 3,3,2016-05-02T19:02:16.000,2016-05-02T15:58:46.000
Validacion final,111351,1707,Validacion final,1707,Fluxicon Disco,Variant 3,3,2016-06-07T15:28:50.000,2016-06-07T15:28:49.000
Visto Bueno Cierre Proceso,111351,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 3,3,2016-06-07T15:45:24.000,2016-06-07T15:29:54.000
End,111351,End,End,End,Fluxicon Disco,Variant 3,3,2016-06-07T15:45:24.000,2016-06-07T15:45:24.000
Start,111401,Start,Start,Start,Fluxicon Disco,Variant 2,2,2016-04-19T02:30:37.000,2016-04-19T02:30:37.000
Traer informacion estudiante - banner,111401,4032,Traer informacion estudiante - banner,4032,Fluxicon Disco,Variant 2,2,2016-04-19T02:30:37.000,2016-04-19T02:30:37.000
Radicar Solicitud Homologacion,111401,4032,Radicar Solicitud Homologacion,4032,Fluxicon Disco,Variant 2,2,2016-04-19T07:22:41.000,2016-04-19T02:30:41.000
Validar solicitud,111401,29277,Validar solicitud,29277,Fluxicon Disco,Variant 2,2,2016-06-13T19:02:18.000,2016-06-13T19:02:18.000
Homologacion por grupo de cursos,111401,1007,Homologacion por grupo de cursos,1007,Fluxicon Disco,Variant 2,2,2016-06-13T19:27:50.000,2016-06-13T19:03:50.000
End,111401,End,End,End,Fluxicon Disco,Variant 2,2,2016-06-13T19:27:50.000,2016-06-13T19:27:50.000
Start,111453,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-04-19T14:13:19.000,2016-04-19T14:13:19.000
Traer informacion estudiante - banner,111453,4126,Traer informacion estudiante - banner,4126,Fluxicon Disco,Variant 3,3,2016-04-19T14:13:19.000,2016-04-19T14:13:19.000
Radicar Solicitud Homologacion,111453,4126,Radicar Solicitud Homologacion,4126,Fluxicon Disco,Variant 3,3,2016-04-19T14:13:20.000,2016-04-19T14:13:20.000
Validar solicitud,111453,19019,Validar solicitud,19019,Fluxicon Disco,Variant 3,3,2016-04-19T14:25:07.000,2016-04-19T14:21:07.000
Homologacion por grupo de cursos,111453,1007,Homologacion por grupo de cursos,1007,Fluxicon Disco,Variant 3,3,2016-04-19T20:35:19.000,2016-04-19T20:33:08.000
Revisar curso,111453,19019,Revisar curso,19019,Fluxicon Disco,Variant 3,3,2016-04-19T20:33:08.000,2016-04-19T20:33:08.000
Evaluacion curso,111453,19019,Evaluacion curso,19019,Fluxicon Disco,Variant 3,3,2016-04-19T20:42:13.000,2016-04-19T20:42:13.000
Validacion final,111453,19019,Validacion final,19019,Fluxicon Disco,Variant 3,3,2016-04-19T20:54:17.000,2016-04-19T20:54:17.000
Visto Bueno Cierre Proceso,111453,1007,Visto Bueno Cierre Proceso,1007,Fluxicon Disco,Variant 3,3,2016-04-19T20:58:14.000,2016-04-19T20:56:03.000
End,111453,End,End,End,Fluxicon Disco,Variant 3,3,2016-04-19T20:58:14.000,2016-04-19T20:58:14.000
Start,111454,Start,Start,Start,Fluxicon Disco,Variant 35,35,2016-04-19T14:22:13.000,2016-04-19T14:22:13.000
Traer informacion estudiante - banner,111454,4126,Traer informacion estudiante - banner,4126,Fluxicon Disco,Variant 35,35,2016-04-19T14:22:13.000,2016-04-19T14:22:13.000
Radicar Solicitud Homologacion,111454,4126,Radicar Solicitud Homologacion,4126,Fluxicon Disco,Variant 35,35,2016-04-19T14:22:14.000,2016-04-19T14:22:14.000
Validar solicitud,111454,19019,Validar solicitud,19019,Fluxicon Disco,Variant 35,35,2016-04-19T14:35:51.000,2016-04-19T14:31:51.000
Homologacion por grupo de cursos,111454,1007,Homologacion por grupo de cursos,1007,Fluxicon Disco,Variant 35,35,2016-04-19T22:58:28.000,2016-04-19T20:44:00.000
Revisar curso,111454,19019,Revisar curso,19019,Fluxicon Disco,Variant 35,35,2016-04-19T20:44:00.000,2016-04-19T20:44:00.000
Evaluacion curso,111454,4067,Evaluacion curso,4067,Fluxicon Disco,Variant 35,35,2016-04-19T20:58:08.000,2016-04-19T20:44:45.000
Visto Bueno Cierre Proceso,111454,1007,Visto Bueno Cierre Proceso,1007,Fluxicon Disco,Variant 35,35,2016-04-21T16:33:05.000,2016-04-21T14:30:37.000
Validacion final,111454,19019,Validacion final,19019,Fluxicon Disco,Variant 35,35,2016-04-21T16:23:37.000,2016-04-21T16:23:37.000
End,111454,End,End,End,Fluxicon Disco,Variant 35,35,2016-04-21T16:23:37.000,2016-04-21T16:23:37.000
Start,111501,Start,Start,Start,Fluxicon Disco,Variant 17,17,2016-04-19T13:57:48.000,2016-04-19T13:57:48.000
Cancelar Solicitud,111501,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 17,17,2016-04-19T14:05:48.000,2016-04-19T13:57:48.000
Traer informacion estudiante - banner,111501,2981,Traer informacion estudiante - banner,2981,Fluxicon Disco,Variant 17,17,2016-04-19T15:27:51.000,2016-04-19T15:27:51.000
Radicar Solicitud Homologacion,111501,2981,Radicar Solicitud Homologacion,2981,Fluxicon Disco,Variant 17,17,2016-04-19T15:27:56.000,2016-04-19T15:27:56.000
Notificacion estudiante cancelacion soli,111501,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 17,17,2016-04-20T14:16:10.000,2016-04-20T14:16:10.000
End,111501,End,End,End,Fluxicon Disco,Variant 17,17,2016-04-20T14:16:10.000,2016-04-20T14:16:10.000
Start,111551,Start,Start,Start,Fluxicon Disco,Variant 2,2,2016-04-19T20:44:45.000,2016-04-19T20:44:45.000
Traer informacion estudiante - banner,111551,19214,Traer informacion estudiante - banner,19214,Fluxicon Disco,Variant 2,2,2016-04-19T20:44:45.000,2016-04-19T20:44:45.000
Radicar Solicitud Homologacion,111551,19214,Radicar Solicitud Homologacion,19214,Fluxicon Disco,Variant 2,2,2016-04-19T22:12:53.000,2016-04-19T20:44:53.000
Validar solicitud,111551,448,Validar solicitud,448,Fluxicon Disco,Variant 2,2,2016-05-04T21:23:36.000,2016-05-04T20:55:29.000
Homologacion por grupo de cursos,111551,7177,Homologacion por grupo de cursos,7177,Fluxicon Disco,Variant 2,2,2016-05-11T17:06:08.000,2016-05-11T15:07:05.000
End,111551,End,End,End,Fluxicon Disco,Variant 2,2,2016-05-11T17:06:08.000,2016-05-11T17:06:08.000
Start,111651,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-04-19T21:29:09.000,2016-04-19T21:29:09.000
Traer informacion estudiante - banner,111651,11861,Traer informacion estudiante - banner,11861,Fluxicon Disco,Variant 1,1,2016-04-19T21:29:09.000,2016-04-19T21:29:09.000
Radicar Solicitud Homologacion,111651,11861,Radicar Solicitud Homologacion,11861,Fluxicon Disco,Variant 1,1,2016-04-19T21:29:26.000,2016-04-19T21:29:13.000
Cancelar Solicitud,111651,22475,Cancelar Solicitud,22475,Fluxicon Disco,Variant 1,1,2016-04-19T21:43:00.000,2016-04-19T21:42:16.000
Notificacion estudiante cancelacion soli,111651,22475,Notificacion estudiante cancelacion soli,22475,Fluxicon Disco,Variant 1,1,2016-04-19T22:26:35.000,2016-04-19T22:26:35.000
End,111651,End,End,End,Fluxicon Disco,Variant 1,1,2016-04-19T22:26:35.000,2016-04-19T22:26:35.000
Start,111654,Start,Start,Start,Fluxicon Disco,Variant 2,2,2016-04-19T23:06:15.000,2016-04-19T23:06:15.000
Traer informacion estudiante - banner,111654,22560,Traer informacion estudiante - banner,22560,Fluxicon Disco,Variant 2,2,2016-04-19T23:06:15.000,2016-04-19T23:06:15.000
Radicar Solicitud Homologacion,111654,22560,Radicar Solicitud Homologacion,22560,Fluxicon Disco,Variant 2,2,2016-04-19T23:36:39.000,2016-04-19T23:06:18.000
Validar solicitud,111654,261,Validar solicitud,261,Fluxicon Disco,Variant 2,2,2016-04-25T22:15:59.000,2016-04-25T21:27:27.000
Homologacion por grupo de cursos,111654,308,Homologacion por grupo de cursos,308,Fluxicon Disco,Variant 2,2,2016-05-04T02:12:37.000,2016-05-03T21:59:47.000
End,111654,End,End,End,Fluxicon Disco,Variant 2,2,2016-05-04T02:12:37.000,2016-05-04T02:12:37.000
Start,111655,Start,Start,Start,Fluxicon Disco,Variant 4,4,2016-04-20T00:02:34.000,2016-04-20T00:02:34.000
Traer informacion estudiante - banner,111655,11611,Traer informacion estudiante - banner,11611,Fluxicon Disco,Variant 4,4,2016-04-20T00:02:34.000,2016-04-20T00:02:34.000
Radicar Solicitud Homologacion,111655,11611,Radicar Solicitud Homologacion,11611,Fluxicon Disco,Variant 4,4,2016-04-20T00:02:49.000,2016-04-20T00:02:37.000
Validar solicitud,111655,1646,Validar solicitud,1646,Fluxicon Disco,Variant 4,4,2016-04-20T00:34:20.000,2016-04-20T00:15:04.000
Homologacion por grupo de cursos,111655,1646,Homologacion por grupo de cursos,1646,Fluxicon Disco,Variant 4,4,2016-04-22T20:21:29.000,2016-04-22T17:32:02.000
Revisar curso,111655,49,Revisar curso,49,Fluxicon Disco,Variant 4,4,2016-04-22T17:36:38.000,2016-04-22T17:32:02.000
Evaluacion curso,111655,1646,Evaluacion curso,1646,Fluxicon Disco,Variant 4,4,2016-04-23T00:23:40.000,2016-04-23T00:08:45.000
Validar solicitud / pre-homologacion,111655,1646,Validar solicitud / pre-homologacion,1646,Fluxicon Disco,Variant 4,4,2016-04-27T01:34:01.000,2016-04-26T23:04:06.000
End,111655,End,End,End,Fluxicon Disco,Variant 4,4,2016-04-27T01:34:01.000,2016-04-27T01:34:01.000
Start,111702,Start,Start,Start,Fluxicon Disco,Variant 14,14,2016-04-19T20:13:24.000,2016-04-19T20:13:24.000
Radicar Solicitud Homologacion,111702,19019,Radicar Solicitud Homologacion,19019,Fluxicon Disco,Variant 14,14,2016-04-19T20:13:24.000,2016-04-19T20:13:24.000
End,111702,End,End,End,Fluxicon Disco,Variant 14,14,2016-04-19T20:13:24.000,2016-04-19T20:13:24.000
Start,111751,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-04-20T10:48:23.000,2016-04-20T10:48:23.000
Traer informacion estudiante - banner,111751,1959,Traer informacion estudiante - banner,1959,Fluxicon Disco,Variant 1,1,2016-04-20T10:48:23.000,2016-04-20T10:48:23.000
Radicar Solicitud Homologacion,111751,1959,Radicar Solicitud Homologacion,1959,Fluxicon Disco,Variant 1,1,2016-04-20T10:48:31.000,2016-04-20T10:48:31.000
Cancelar Solicitud,111751,677,Cancelar Solicitud,677,Fluxicon Disco,Variant 1,1,2016-04-20T11:57:44.000,2016-04-20T11:53:44.000
Notificacion estudiante cancelacion soli,111751,677,Notificacion estudiante cancelacion soli,677,Fluxicon Disco,Variant 1,1,2016-04-20T20:07:43.000,2016-04-20T20:07:43.000
End,111751,End,End,End,Fluxicon Disco,Variant 1,1,2016-04-20T20:07:43.000,2016-04-20T20:07:43.000
Start,111801,Start,Start,Start,Fluxicon Disco,Variant 1,1,2016-04-20T11:33:08.000,2016-04-20T11:33:08.000
Traer informacion estudiante - banner,111801,8223,Traer informacion estudiante - banner,8223,Fluxicon Disco,Variant 1,1,2016-04-20T11:33:08.000,2016-04-20T11:33:08.000
Radicar Solicitud Homologacion,111801,8223,Radicar Solicitud Homologacion,8223,Fluxicon Disco,Variant 1,1,2016-04-20T11:33:14.000,2016-04-20T11:33:14.000
Cancelar Solicitud,111801,241,Cancelar Solicitud,241,Fluxicon Disco,Variant 1,1,2016-04-20T12:06:21.000,2016-04-20T11:52:16.000
Notificacion estudiante cancelacion soli,111801,241,Notificacion estudiante cancelacion soli,241,Fluxicon Disco,Variant 1,1,2016-04-21T23:05:18.000,2016-04-21T23:05:18.000
End,111801,End,End,End,Fluxicon Disco,Variant 1,1,2016-04-21T23:05:18.000,2016-04-21T23:05:18.000
Start,111853,Start,Start,Start,Fluxicon Disco,Variant 14,14,2016-04-20T14:36:05.000,2016-04-20T14:36:05.000
Radicar Solicitud Homologacion,111853,19019,Radicar Solicitud Homologacion,19019,Fluxicon Disco,Variant 14,14,2016-04-20T14:36:05.000,2016-04-20T14:36:05.000
End,111853,End,End,End,Fluxicon Disco,Variant 14,14,2016-04-20T14:36:05.000,2016-04-20T14:36:05.000
Start,111951,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-04-20T17:03:34.000,2016-04-20T17:03:34.000
Traer informacion estudiante - banner,111951,8365,Traer informacion estudiante - banner,8365,Fluxicon Disco,Variant 3,3,2016-04-20T17:03:34.000,2016-04-20T17:03:34.000
Radicar Solicitud Homologacion,111951,8365,Radicar Solicitud Homologacion,8365,Fluxicon Disco,Variant 3,3,2016-04-20T17:13:05.000,2016-04-20T17:03:38.000
Validar solicitud,111951,1707,Validar solicitud,1707,Fluxicon Disco,Variant 3,3,2016-04-21T18:55:33.000,2016-04-21T18:31:24.000
Homologacion por grupo de cursos,111951,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 3,3,2016-04-26T20:21:18.000,2016-04-26T18:40:25.000
Revisar curso,111951,1707,Revisar curso,1707,Fluxicon Disco,Variant 3,3,2016-04-26T19:09:43.000,2016-04-26T18:40:25.000
Evaluacion curso,111951,15930,Evaluacion curso,15930,Fluxicon Disco,Variant 3,3,2016-05-02T16:37:58.000,2016-05-02T15:58:57.000
Validacion final,111951,1707,Validacion final,1707,Fluxicon Disco,Variant 3,3,2016-05-10T01:19:52.000,2016-05-10T01:03:07.000
Visto Bueno Cierre Proceso,111951,15930,Visto Bueno Cierre Proceso,15930,Fluxicon Disco,Variant 3,3,2016-05-12T16:01:03.000,2016-05-12T15:45:15.000
End,111951,End,End,End,Fluxicon Disco,Variant 3,3,2016-05-12T16:01:03.000,2016-05-12T16:01:03.000
Start,112001,Start,Start,Start,Fluxicon Disco,Variant 2,2,2016-04-20T21:42:18.000,2016-04-20T21:42:18.000
Traer informacion estudiante - banner,112001,1795,Traer informacion estudiante - banner,1795,Fluxicon Disco,Variant 2,2,2016-04-20T21:42:18.000,2016-04-20T21:42:18.000
Radicar Solicitud Homologacion,112001,1795,Radicar Solicitud Homologacion,1795,Fluxicon Disco,Variant 2,2,2016-04-20T22:26:43.000,2016-04-20T21:42:25.000
Validar solicitud,112001,677,Validar solicitud,677,Fluxicon Disco,Variant 2,2,2016-04-28T16:15:42.000,2016-04-28T16:00:43.000
Homologacion por grupo de cursos,112001,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 2,2,2016-05-02T14:35:42.000,2016-05-02T14:19:04.000
End,112001,End,End,End,Fluxicon Disco,Variant 2,2,2016-05-02T14:35:42.000,2016-05-02T14:35:42.000
Start,112102,Start,Start,Start,Fluxicon Disco,Variant 11,11,2016-04-21T01:18:56.000,2016-04-21T01:18:56.000
Traer informacion estudiante - banner,112102,2981,Traer informacion estudiante - banner,2981,Fluxicon Disco,Variant 11,11,2016-04-21T01:18:56.000,2016-04-21T01:18:56.000
Radicar Solicitud Homologacion,112102,2981,Radicar Solicitud Homologacion,2981,Fluxicon Disco,Variant 11,11,2016-04-21T01:18:56.000,2016-04-21T01:18:56.000
Validar solicitud,112102,677,Validar solicitud,677,Fluxicon Disco,Variant 11,11,2016-04-21T01:48:53.000,2016-04-21T01:32:01.000
Homologacion por grupo de cursos,112102,3445,Homologacion por grupo de cursos,3445,Fluxicon Disco,Variant 11,11,2016-04-25T17:46:43.000,2016-04-25T15:52:00.000
Revisar curso,112102,677,Revisar curso,677,Fluxicon Disco,Variant 11,11,2016-04-25T15:52:01.000,2016-04-25T15:52:01.000
Evaluacion curso,112102,7304,Evaluacion curso,7304,Fluxicon Disco,Variant 11,11,2016-04-25T17:31:22.000,2016-04-25T15:52:27.000
Validacion final,112102,677,Validacion final,677,Fluxicon Disco,Variant 11,11,2016-05-12T18:56:59.000,2016-05-12T18:47:53.000
Visto Bueno Cierre Proceso,112102,3445,Visto Bueno Cierre Proceso,3445,Fluxicon Disco,Variant 11,11,2016-05-13T22:00:43.000,2016-05-13T21:54:02.000
Transferir Creditos,112102,3445,Transferir Creditos,3445,Fluxicon Disco,Variant 11,11,2016-05-16T18:35:24.000,2016-05-16T18:35:24.000
Transferir creditos homologables,112102,3445,Transferir creditos homologables,3445,Fluxicon Disco,Variant 11,11,2016-05-16T18:35:24.000,2016-05-16T18:35:24.000
End,112102,End,End,End,Fluxicon Disco,Variant 11,11,2016-05-16T18:35:24.000,2016-05-16T18:35:24.000
Start,112301,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-04-21T15:16:16.000,2016-04-21T15:16:16.000
Traer informacion estudiante - banner,112301,3796,Traer informacion estudiante - banner,3796,Fluxicon Disco,Variant 3,3,2016-04-21T15:16:16.000,2016-04-21T15:16:16.000
Radicar Solicitud Homologacion,112301,3796,Radicar Solicitud Homologacion,3796,Fluxicon Disco,Variant 3,3,2016-04-21T15:16:27.000,2016-04-21T15:16:22.000
Validar solicitud,112301,18929,Validar solicitud,18929,Fluxicon Disco,Variant 3,3,2016-04-21T15:29:31.000,2016-04-21T15:22:13.000
Homologacion por grupo de cursos,112301,957,Homologacion por grupo de cursos,957,Fluxicon Disco,Variant 3,3,2016-04-22T04:21:45.000,2016-04-22T00:41:00.000
Revisar curso,112301,18929,Revisar curso,18929,Fluxicon Disco,Variant 3,3,2016-04-22T00:41:00.000,2016-04-22T00:41:00.000
Evaluacion curso,112301,436,Evaluacion curso,436,Fluxicon Disco,Variant 3,3,2016-04-22T04:20:02.000,2016-04-22T00:41:43.000
Validacion final,112301,18929,Validacion final,18929,Fluxicon Disco,Variant 3,3,2016-06-02T17:03:37.000,2016-06-02T17:01:25.000
Visto Bueno Cierre Proceso,112301,957,Visto Bueno Cierre Proceso,957,Fluxicon Disco,Variant 3,3,2016-06-02T21:14:18.000,2016-06-02T21:14:06.000
End,112301,End,End,End,Fluxicon Disco,Variant 3,3,2016-06-02T21:14:18.000,2016-06-02T21:14:18.000
Start,112303,Start,Start,Start,Fluxicon Disco,Variant 3,3,2016-04-21T16:11:03.000,2016-04-21T16:11:03.000
Traer informacion estudiante - banner,112303,2506,Traer informacion estudiante - banner,2506,Fluxicon Disco,Variant 3,3,2016-04-21T16:11:03.000,2016-04-21T16:11:03.000
Radicar Solicitud Homologacion,112303,2506,Radicar Solicitud Homologacion,2506,Fluxicon Disco,Variant 3,3,2016-04-21T16:11:07.000,2016-04-21T16:11:04.000
Validar solicitud,112303,1707,Validar solicitud,1707,Fluxicon Disco,Variant 3,3,2016-04-21T16:41:28.000,2016-04-21T16:14:59.000
Homologacion por grupo de cursos,112303,15930,Homologacion por grupo de cursos,15930,Fluxicon Disco,Variant 3,3,2016-04-26T20:24:59.000,2016-04-26T18:44:09.000
Revisar curso,112303,1707,Revisar curso,1707,Fluxicon Disco,Variant 3,3,2016-04-26T19:13:25.000,2016-04-26T18:44:10.000
Evaluacion curso,112303,15930,Evaluacion curso,15930,Fluxicon Disco,Variant 3,3,2016-05-02T16:38:10.000,2016-05-02T15:59:10.000
